order_item_id,order_id,product_id,quantity,unit_price
1,1,45,1,389.0
2,1,89,2,382.64
3,1,84,2,404.13
4,1,72,3,91.81
5,2,66,1,297.35
6,2,34,3,465.42
7,2,115,2,471.72
8,2,11,1,65.47
9,3,90,3,21.72
10,4,100,3,76.69
11,4,92,3,60.94
12,5,90,3,21.72
13,6,120,1,442.56
14,6,26,3,193.83
15,6,43,1,244.07
16,6,41,2,343.19
17,7,39,3,220.32
18,7,92,3,60.94
19,7,110,2,40.22
20,8,114,2,453.49
21,9,11,3,65.47
22,10,46,1,43.52
23,10,56,2,65.24
24,10,49,2,449.33
25,10,113,1,106.9
26,11,62,2,318.0
27,12,37,2,330.75
28,12,109,1,59.93
29,12,31,3,141.58
30,13,42,1,410.38
31,13,2,1,101.02
32,14,78,2,121.92
33,14,45,1,389.0
34,14,61,1,462.06
35,14,102,2,69.16
36,15,36,2,442.25
37,15,73,1,388.0
38,16,76,1,431.09
39,16,70,1,356.87
40,16,20,2,168.59
41,17,87,1,286.27
42,17,65,3,487.41
43,17,46,2,43.52
44,17,6,3,482.28
45,18,40,1,243.64
46,19,92,1,60.94
47,19,7,1,213.66
48,20,22,2,76.44
49,21,91,2,475.99
50,21,29,3,321.07
51,21,46,2,43.52
52,21,22,1,76.44
53,22,49,3,449.33
54,22,50,3,182.25
55,22,108,1,282.42
56,23,59,2,277.71
57,23,94,1,55.58
58,23,110,2,40.22
59,23,46,2,43.52
60,24,48,1,460.75
61,24,115,1,471.72
62,24,45,1,389.0
63,24,34,2,465.42
64,25,47,2,225.65
65,25,29,2,321.07
66,25,8,3,50.51
67,26,70,1,356.87
68,26,19,1,181.9
69,27,24,1,358.58
70,28,97,3,46.67
71,29,111,3,413.6
72,29,90,1,21.72
73,30,33,3,32.51
74,30,59,3,277.71
75,30,78,2,121.92
76,30,47,3,225.65
77,31,60,2,297.81
78,31,66,1,297.35
79,31,105,3,419.6
80,32,79,3,129.83
81,32,51,2,145.71
82,33,16,3,112.84
83,34,91,1,475.99
84,35,57,1,445.48
85,35,57,2,445.48
86,36,115,3,471.72
87,36,61,3,462.06
88,37,46,1,43.52
89,37,68,2,52.24
90,37,93,1,480.98
91,37,107,3,137.48
92,38,42,1,410.38
93,39,29,3,321.07
94,39,53,3,425.47
95,39,45,1,389.0
96,40,88,1,190.45
97,40,75,2,253.11
98,40,56,1,65.24
99,41,19,1,181.9
100,41,104,1,405.72
101,41,78,3,121.92
102,41,89,2,382.64
103,42,62,2,318.0
104,42,86,1,281.01
105,42,74,1,266.69
106,42,74,1,266.69
107,43,42,3,410.38
108,43,42,3,410.38
109,43,114,3,453.49
110,43,47,3,225.65
111,44,11,1,65.47
112,45,80,3,97.69
113,45,45,1,389.0
114,46,75,2,253.11
115,47,15,3,432.48
116,48,29,1,321.07
117,48,25,3,249.83
118,49,5,3,476.4
119,49,84,2,404.13
120,49,11,1,65.47
121,49,70,2,356.87
122,50,1,1,214.94
123,50,40,2,243.64
124,50,53,1,425.47
125,50,40,2,243.64
126,51,3,1,281.91
127,51,73,1,388.0
128,51,64,3,145.96
129,51,79,3,129.83
130,52,112,2,136.82
131,52,78,2,121.92
132,52,79,3,129.83
133,53,110,3,40.22
134,53,78,1,121.92
135,54,49,3,449.33
136,54,77,3,388.93
137,54,2,2,101.02
138,54,12,3,275.6
139,55,102,1,69.16
140,55,83,3,256.0
141,56,91,2,475.99
142,56,41,1,343.19
143,56,59,2,277.71
144,57,95,2,353.41
145,58,50,3,182.25
146,59,15,3,432.48
147,60,25,3,249.83
148,60,41,1,343.19
149,61,39,2,220.32
150,61,116,2,412.63
151,61,120,2,442.56
152,62,55,3,394.06
153,62,92,2,60.94
154,62,23,2,434.85
155,62,86,3,281.01
156,63,74,2,266.69
157,63,13,2,277.71
158,63,30,3,204.88
159,64,61,2,462.06
160,64,22,3,76.44
161,64,23,3,434.85
162,64,27,3,377.4
163,65,47,2,225.65
164,65,19,2,181.9
165,66,31,3,141.58
166,67,47,2,225.65
167,67,24,3,358.58
168,67,102,3,69.16
169,67,80,3,97.69
170,68,115,2,471.72
171,69,107,2,137.48
172,69,1,2,214.94
173,69,2,3,101.02
174,70,82,2,142.92
175,70,68,2,52.24
176,71,59,3,277.71
177,71,15,1,432.48
178,72,41,2,343.19
179,72,57,1,445.48
180,72,60,2,297.81
181,73,103,2,237.04
182,73,104,2,405.72
183,73,60,3,297.81
184,73,60,2,297.81
185,74,49,3,449.33
186,74,71,1,476.98
187,75,20,1,168.59
188,75,65,3,487.41
189,75,115,3,471.72
190,76,50,3,182.25
191,76,15,3,432.48
192,76,69,3,308.33
193,77,32,1,293.19
194,77,43,2,244.07
195,77,99,3,165.85
196,78,113,1,106.9
197,78,75,3,253.11
198,79,34,3,465.42
199,79,63,1,50.39
200,79,19,1,181.9
201,80,107,1,137.48
202,80,120,3,442.56
203,80,5,2,476.4
